han,name,hex,dec,note
躇,4010,8E87,36487,
蹼,4011,8E7C,36476,
蹶,4012,8E76,36470,
躂,4013,8E82,36482,
躁,4014,8E81,36481,
躅,4015,8E85,36485,
躉,4016,8E89,36489,
躊,4017,8E8A,36490,
躍,4018,8E8D,36493,
躑,4019,8E91,36497,
躡,4020,8EA1,36513,
躪,4021,8EAA,36522,
身,4022,8EAB,36523,
躬,4023,8EAC,36524,
躭,4024,8EAD,36525,
躲,4025,8EB2,36530,
躺,4026,8EBA,36538,
軀,4027,8EC0,36544,
車,4028,8ECA,36554,
軋,4029,8ECB,36555,
軍,4030,8ECD,36557,
軌,4031,8ECC,36556,
軒,4032,8ED2,36562,
軔,4033,8ED4,36564,
軛,4034,8EDB,36571,
軟,4035,8EDF,36575,⿰車欠
輭,4035V,8F2D,36653,⿰車耎
軻,4036,8EFB,36603,
軸,4037,8EF8,36600,
軼,4038,8EFC,36604,
較,4039,8F03,36611,
載,4040,8F09,36617,
軾,4041,8EFE,36606,
輊,4042,8F0A,36618,
輔,4043,8F14,36628,
輒,4044,8F12,36626,
輕,4045,8F15,36629,
輓,4046,8F13,36627,
輝,4047,8F1D,36637,
輛,4048,8F1B,36635,
輟,4049,8F1F,36639,
輦,4050,8F26,36646,
輩,4051,8F29,36649,
輪,4052,8F2A,36650,
輜,4053,8F1C,36636,
輻,4054,8F3B,36667,
輯,4055,8F2F,36655,
輸,4056,8F38,36664,
轄,4057,8F44,36676,
輾,4058,8F3E,36670,
轂,4059,8F42,36674,
轅,4060,8F45,36677,
輿,4061,8F3F,36671,
轉,4062,8F49,36681,
轍,4063,8F4D,36685,
轔,4064,8F54,36692,
轎,4065,8F4E,36686,
轟,4066,8F5F,36703,
轡,4067,8F61,36705,
辛,4068,8F9B,36763,
辜,4069,8F9C,36764,
辟,4070,8F9F,36767,
辣,4071,8FA3,36771,
辦,4072,8FA6,36774,
辨,4073,8FA8,36776,
辭,4074,8FAD,36781,
辯,4075,8FAF,36783,
辰,4076,8FB0,36784,
辱,4077,8FB1,36785,
農,4078,8FB2,36786,
迂,4079,8FC2,36802,
迅,4080,8FC5,36805,
迄,4081,8FC4,36804,
巡,4082,5DE1,24033,
迎,4083,8FCE,36814,
返,4084,8FD4,36820,
近,4085,8FD1,36817,
述,4086,8FF0,36848,
迦,4087,8FE6,36838,
迢,4088,8FE2,36834,
迪,4089,8FEA,36842,
迥,4090,8FE5,36837,
迫,4091,8FEB,36843,
迤,4092,8FE4,36836,
迭,4093,8FED,36845,
迸,4094,8FF8,36856,
送,4095,9001,36865,
逆,4096,9006,36870,
迷,4097,8FF7,36855,
退,4098,9000,36864,
迺,4099,8FFA,36858,
迴,4100,8FF4,36852,
逃,4101,9003,36867,
追,4102,8FFD,36861,
逅,4103,9005,36869,
這,4104,9019,36889,
通,4105,901A,36890,
逗,4106,9017,36887,
連,4107,9023,36899,
速,4108,901F,36895,
逝,4109,901D,36893,
逐,4110,9010,36880,
逕,4111,9015,36885,
逍,4112,900D,36877,
逞,4113,901E,36894,
造,4114,9020,36896,
透,4115,900F,36879,
逢,4116,9022,36898,
逖,4117,9016,36886,
逛,4118,901B,36891,
途,4119,9014,36884,
逮,4120,902E,36910,
逵,4121,9035,36917,
週,4122,9031,36913,
逸,4123,9038,36920,
進,4124,9032,36914,
運,4125,904B,36939,
遊,4126,904A,36938,
道,4127,9053,36947,
遂,4128,9042,36930,
遍,4129,904D,36941,
達,4130,9054,36948,
逼,4131,903C,36924,
違,4132,9055,36949,
遐,4133,9050,36944,
遇,4134,9047,36935,
遏,4135,904F,36943,
過,4136,904E,36942,
遑,4137,9051,36945,
逾,4138,903E,36926,
遁,4139,9041,36929,
遠,4140,9060,36960,
遘,4141,9058,36952,
遜,4142,905C,36956,
遣,4143,9063,36963,
